episode,reward,steps,final_level,win
829,279.95,780,15,1
830,-10.65,331,3,0
831,-10.15,249,2,0
832,279.95,592,15,1
833,279.95,554,15,1
834,279.88,908,15,1
835,279.95,594,15,1
836,199.43,795,15,1
837,-10.15,309,3,0
838,-10.15,374,2,0
839,279.56,700,15,1
840,279.42999999999995,1059,15,1
841,279.52,908,15,1
842,279.95,616,15,1
843,279.95,723,15,1
844,279.95,725,15,1
845,279.95,718,15,1
846,-10.29,379,3,0
847,279.95,719,15,1
848,-10.59,208,2,0
849,-10.15,239,2,0
850,279.87,658,15,1
851,-10.65,720,8,0
852,69.35000000000001,684,11,0
853,-10.44,455,2,0
854,279.42999999999995,843,15,1
855,-10.65,1113,12,0
856,279.87,546,15,1
857,279.95,665,15,1
858,199.95,864,15,1
859,279.95,573,15,1
860,279.95,543,15,1
861,279.95,815,15,1
862,379.44,612,15,1
863,-10.15,333,2,0
864,-10.5,327,2,0
865,-10.62,343,2,0
866,-10.65,376,2,0
867,379.95,834,15,1
868,279.95,646,15,1
869,199.68,715,15,1
870,69.38000000000001,350,2,0
871,-10.15,291,2,0
872,-10.15,447,3,0
873,279.42999999999995,617,15,1
874,279.95,928,15,1
875,-10.65,434,3,0
876,279.95,478,15,1
877,279.95,642,15,1
878,-10.65,390,3,0
879,279.95,766,15,1
880,279.95,603,15,1
881,199.43,567,15,1
882,-10.15,684,9,0
883,279.42999999999995,874,15,1
884,199.43,587,15,1
885,279.49,764,15,1
886,279.44,658,15,1
887,379.77,491,15,1
888,279.95,648,15,1
889,-10.65,641,12,0
890,279.95,939,15,1
891,279.52,623,15,1
892,379.95,461,15,1
893,279.79999999999995,616,15,1
894,279.42999999999995,641,15,1
895,279.79999999999995,583,15,1
896,279.95,607,15,1
897,279.95,872,15,1
898,279.95,721,15,1
899,279.95,577,15,1
900,279.42999999999995,628,15,1
901,199.95,694,15,1
902,279.95,574,15,1
903,-10.15,275,2,0
904,199.82999999999998,535,15,1
905,-10.41,290,2,0
906,279.66999999999996,591,15,1
907,-10.15,313,2,0
908,-10.15,413,3,0
909,279.42999999999995,778,15,1
910,279.95,779,15,1
911,-10.15,260,2,0
912,199.8,797,15,1
913,279.67999999999995,576,15,1
914,279.77,507,15,1
915,279.65,572,15,1
916,379.95,665,15,1
917,199.95,839,15,1
918,-10.15,569,6,0
919,199.95,873,15,1
920,-10.15,607,3,0
921,279.74,704,15,1
922,279.95,513,15,1
923,279.95,608,15,1
924,279.46,748,15,1
925,279.95,578,15,1
926,199.95,729,15,1
927,279.95,745,15,1
928,-10.15,239,2,0
929,279.95,587,15,1
930,379.77,566,15,1
931,279.95,892,15,1
932,199.43,556,15,1
933,379.40999999999997,412,15,1
934,69.35000000000001,467,8,0
935,379.61,834,15,1
936,-10.15,224,2,0
937,199.95,506,15,1
938,279.95,669,15,1
939,199.95,615,15,1
940,279.42999999999995,1069,15,1
941,279.95,587,15,1
942,279.52,634,15,1
943,-10.15,298,3,0
944,199.95,642,15,1
945,279.95,698,15,1
946,379.56,802,15,1
947,69.35000000000001,414,2,0
948,279.95,766,15,1
949,-10.26,591,3,0
950,279.95,897,15,1
951,279.95,642,15,1
952,479.77,506,15,1
953,279.95,458,15,1
954,-10.65,247,2,0
955,-10.46,428,4,0
956,279.95,604,15,1
957,279.95,903,15,1
958,279.42999999999995,817,15,1
959,69.85000000000001,315,2,0
960,279.95,663,15,1
961,279.95,528,15,1
962,279.95,553,15,1
963,-10.15,376,2,0
964,199.43,544,15,1
965,279.42999999999995,782,15,1
966,279.95,745,15,1
967,-10.15,499,7,0
968,69.35000000000001,317,2,0
969,279.95,957,15,1
970,-10.15,652,11,0
971,279.95,835,15,1
972,279.95,619,15,1
973,-10.15,298,2,0
974,279.95,1019,15,1
975,279.95,630,15,1
976,279.95,716,15,1
977,279.79999999999995,810,15,1
978,279.95,557,15,1
979,-10.29,354,2,0
980,279.87,589,15,1
981,279.95,602,15,1
982,279.7,790,15,1
983,279.95,802,15,1
984,279.95,706,15,1
985,279.46,582,15,1
986,279.95,715,15,1
987,279.95,707,15,1
988,199.68,643,15,1
989,279.95,655,15,1
990,279.42999999999995,741,15,1
991,279.95,785,15,1
992,379.95,594,15,1
993,279.95,645,15,1
994,279.95,858,15,1
995,279.95,702,15,1
996,279.95,822,15,1
997,279.42999999999995,764,15,1
998,279.95,672,15,1
999,279.95,613,15,1
1000,279.75,458,15,1
1001,-10.58,460,4,0
1002,199.43,706,15,1
1003,199.95,609,15,1
1004,279.42999999999995,783,15,1
1005,-10.62,233,2,0
1006,-10.65,334,2,0
1007,-10.15,313,2,0
1008,279.95,748,15,1
1009,279.95,705,15,1
1010,-10.65,974,11,0
1011,279.95,927,15,1
1012,279.95,628,15,1
1013,379.95,527,15,1
1014,279.42999999999995,929,15,1
1015,-10.65,554,9,0
1016,279.95,619,15,1
1017,-10.15,266,2,0
1018,199.95,798,15,1
1019,279.46,905,15,1
1020,279.57,626,15,1
1021,279.45,575,15,1
1022,279.95,646,15,1
1023,-10.31,281,2,0
1024,-10.52,292,2,0
1025,279.95,632,15,1
1026,199.62,578,15,1
1027,-10.23,296,2,0
1028,279.95,466,15,1
1029,279.42999999999995,688,15,1
1030,-10.15,529,2,0
1031,279.67999999999995,784,15,1
1032,279.42999999999995,655,15,1
1033,199.95,553,15,1
1034,279.74,643,15,1
1035,199.95,512,15,1
1036,379.95,815,15,1
1037,199.95,697,15,1
1038,279.95,868,15,1
1039,279.42999999999995,815,15,1
1040,69.85000000000001,333,2,0
1041,279.95,566,15,1
1042,199.95,743,15,1
1043,279.42999999999995,582,15,1
1044,-10.15,640,8,0
1045,-10.15,274,2,0
1046,199.43,687,15,1
1047,279.82,614,15,1
1048,279.92999999999995,664,15,1
1049,-10.65,544,9,0
